ER53001,ER53002,ER53017,ER57482,ER58255
3,4036,39,2,4
3,588,60,0,4
3,6252,37,0,4
3,4414,59,99,4
3,3223,78,11,3
3,3479,45,18,2
3,3546,36,2,4
3,4385,56,2,1
3,3339,64,2,1
3,4108,25,3,2
3,1165,69,2,3
3,4096,70,0,1
3,3555,40,0,1
3,3463,29,2,1
3,282,63,2,2
3,632,58,2,2
3,615,69,0,1
3,568,40,1,2
3,7699,43,4,4
3,915,39,0,2
3,818,36,0,2
3,3088,32,1,4
3,796,38,0,1
3,8330,21,2,1
3,6658,69,0,1
3,6969,47,0,2
3,7790,34,0,1
3,8758,25,2,1
3,6926,75,0,2
3,7586,43,1,4
3,7120,27,0,1
3,2,79,0,4
3,1138,55,1,1
3,121,43,2,1
3,1463,33,1,1
3,6789,91,2,4
3,330,90,12,4
3,4314,42,5,4
3,5669,34,0,4
3,446,21,6,2
3,1678,43,4,1
3,596,56,4,2
3,6048,92,0,4
3,4577,87,99,4
3,2132,64,1,1
3,2400,35,4,1
3,2253,44,0,4
3,1871,43,0,1
3,2008,37,2,1
3,2999,42,0,4
3,1634,25,9,1
3,2868,31,4,4
3,1370,34,2,1
3,2503,31,5,2
3,2599,66,3,1
3,5926,60,1,2
3,9062,44,14,4
3,6513,41,6,4
3,2626,38,2,1
3,7728,40,0,4
3,8965,37,9,3
3,5446,25,4,3
3,5575,23,10,4
3,8349,38,0,4
3,1483,57,0,1
3,8846,49,6,1
3,5825,53,4,2
3,4086,52,10,2
3,3391,50,2,3
3,5319,30,12,2
3,1217,62,0,1
3,4817,29,2,4
3,7071,68,1,4
3,7827,41,1,4
3,7386,44,0,2
3,7825,36,6,1
3,31,74,7,2
3,597,42,5,2
3,1795,40,0,4
3,996,37,10,2
3,820,68,4,4
3,5429,20,7,1
3,1929,82,2,4
3,8999,58,10,4
3,2133,62,0,1
3,9092,37,2,1
3,1248,34,2,2
3,2652,26,5,4
3,1728,36,12,1
3,2003,36,6,1
3,1842,67,0,1
3,3163,44,0,1
3,7285,42,0,2
3,323,49,1,1
3,1377,26,6,1
3,3929,24,11,4
3,7682,70,0,3
3,2098,86,4,4
3,4382,45,2,1
3,3337,42,6,1
3,2051,86,99,4
3,55,57,0,2
3,8927,37,4,4
3,8487,40,2,4
3,3104,61,4,1
3,179,78,1,1
3,886,45,4,2
3,189,49,4,2
3,129,56,4,1
3,4569,53,4,1
3,3122,64,8,2
3,5379,38,4,4
3,4419,65,11,1
3,8202,91,99,4
3,6349,65,0,1
3,7715,44,1,1
3,8255,37,3,3
3,5276,58,0,2
3,4594,33,2,4
3,5504,32,0,1
3,7394,67,2,4
3,7797,39,3,4
3,7814,32,2,4
3,7870,84,0,2
3,7806,54,0,2
3,4977,65,2,2
3,5644,54,2,1
3,5610,56,4,4
3,8301,53,0,1
3,4791,29,0,1
3,5703,29,4,2
3,6125,27,6,1
3,7523,26,3,1
3,5483,33,6,1
3,7282,80,99,4
3,6739,35,0,4
3,1665,55,0,4
3,500,37,2,2
3,8844,35,2,4
3,2622,54,6,1
3,2437,40,0,1
3,2545,37,2,1
3,356,67,0,2
3,976,54,0,1
3,859,38,10,2
3,7602,36,4,4
3,1364,35,2,1
3,4613,30,7,4
3,8514,23,2,4
3,541,66,5,4
3,2559,57,21,4
3,6253,55,6,4
3,4122,37,6,1
3,157,42,0,4
3,7712,26,12,4
3,5123,37,5,4
3,172,62,6,4
3,8070,43,3,4
3,571,32,0,1
3,7350,53,0,4
3,328,63,3,4
3,130,55,99,4
3,7658,30,2,1
3,529,27,0,2
3,2513,38,6,1
3,2658,32,10,4
3,1604,62,0,2
3,3312,55,8,4
3,8099,34,2,4
3,7081,32,2,2
3,8190,26,4,2
3,7486,60,0,2
3,8045,55,3,3
3,3397,59,0,2
3,3028,33,3,2
3,653,30,13,4
3,336,22,11,2
3,413,52,0,1
3,451,79,1,4
3,2433,43,0,4
3,3,62,0,2
3,4911,27,0,1
3,5374,63,0,1
3,6191,64,0,1
3,4609,52,0,1
3,4754,40,1,2
3,6195,36,1,4
3,6773,26,5,4
3,4833,25,0,4
3,2633,87,7,4
3,1408,47,4,2
3,7137,50,2,3
3,8494,33,17,4
3,5397,77,2,4
3,4878,51,0,1
3,6976,50,0,1
3,2467,41,2,4
3,2713,40,5,2
3,5695,64,5,1
3,6592,33,5,1
3,1067,30,6,2
3,5597,30,5,4
3,2069,27,9,4
3,7983,63,0,1
3,5768,36,10,1
3,439,72,4,2
3,808,63,13,2
3,6556,37,8,4
3,6107,64,15,3
3,8283,36,2,4
3,7960,26,0,4
3,3272,68,0,2
3,3496,35,1,1
3,2354,66,0,1
3,4344,44,0,4
3,6193,41,12,4
3,2193,37,5,4
3,8277,17,0,4
3,499,60,1,1
3,1977,30,0,1
3,5839,47,11,4
3,2887,25,2,1
3,6286,81,1,4
3,7239,43,0,4
3,5243,54,1,4
3,5254,59,3,2
3,5288,45,0,2
