ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2434,35,2434,2,1420,5,1
2434,36,2434,3,1421,3,2
2434,37,2434,3,1421,4,2
2436,40,2436,174,1426,2,1
2436,42,2436,31,1427,2,1
2436,45,2436,31,1427,3,1
2436,49,2436,32,1424,2,1
2441,38,2441,176,1431,3,2
2441,39,2441,31,1430,2,1
2441,40,2441,34,1432,2,1
2441,44,2441,33,1434,2,1
2441,45,2441,34,1432,3,1
2441,46,2441,33,1434,3,1
2441,47,2441,33,1434,4,1
2441,48,2441,33,1434,5,1
2443,34,2443,2,1436,2,1
2443,35,2443,30,1437,4,1
2455,32,2455,5,1438,3,1
2455,33,2455,5,1438,4,1
2458,35,2458,174,1439,3,2
2464,33,2464,171,1440,3,2
2464,34,2464,171,1440,4,2
2464,35,2464,171,1440,5,2
2466,35,2466,173,1441,3,2
2466,36,2466,33,1445,3,2
2466,39,2466,173,1441,4,2
2466,40,2466,174,1443,3,2
2466,41,2466,34,1444,3,2
2466,42,2466,173,1441,5,2
2466,44,2466,174,1443,4,2
2466,45,2466,34,1444,4,2
2466,46,2466,33,1445,4,2
2467,34,2467,32,1446,3,2
2467,35,2467,32,1446,4,2
2467,36,2467,31,1447,3,2
2468,33,2468,172,1448,3,2
2469,33,2469,177,1449,3,2
2469,34,2469,31,1450,3,2
2472,32,2472,31,1452,2,1
2472,37,2472,31,1452,3,1
2474,35,2474,33,1454,2,1
2474,36,2474,171,1453,4,2
2475,32,2475,31,1455,3,2
2475,33,2475,31,1455,4,2
2478,33,2478,4,1457,3,2
2478,34,2478,4,1457,4,2
2478,35,2478,30,1456,3,2
2478,36,2478,30,1456,4,2
2479,30,2479,3,1458,4,1
2483,34,2483,200,1460,3,2
2483,35,2483,30,1459,2,1
2483,36,2483,30,1459,3,1
2485,38,2485,193,1464,3,2
2485,39,2485,193,1464,5,2
2485,42,2485,30,1462,2,1
2485,200,2485,199,1461,6,5
2486,198,2486,30,1466,2,1
2487,34,2487,178,1467,4,2
2487,180,2487,178,1467,3,2
2490,36,2490,176,1468,2,1
2490,37,2490,175,1470,3,2
2490,38,2490,175,1470,4,2
2490,39,2490,175,1470,5,2
2500,32,2500,31,1472,3,1
2500,33,2500,177,1473,3,2
2500,34,2500,177,1473,4,2
2502,38,2502,172,1474,4,2
2502,39,2502,32,1478,3,2
2502,40,2502,35,1479,3,2
2502,43,2502,177,1480,3,1
2502,44,2502,35,1479,4,2
2502,45,2502,180,1476,3,2
2502,46,2502,180,1476,4,2
2502,47,2502,37,1474,5,3
2502,49,2502,32,1478,4,2
2503,33,2503,174,1481,3,2
2509,45,2509,6,1486,3,2
2509,46,2509,6,1486,4,2
2509,47,2509,6,1486,5,2
2509,48,2509,179,1487,3,2
2509,49,2509,179,1487,4,2
2515,42,2515,32,1488,3,1
2515,43,2515,32,1488,4,1
2515,48,2515,200,1489,3,2
2515,52,2515,200,1489,4,2
2516,34,2516,4,1490,2,1
2516,35,2516,31,1491,3,2
2518,34,2518,32,1493,2,1
2518,35,2518,31,1492,2,1
2518,36,2518,32,1493,3,1
2521,32,2521,31,1494,3,2
2524,32,2524,173,1498,3,2
2524,33,2524,171,1497,4,2
2524,34,2524,172,1495,4,2
2524,35,2524,170,1496,3,1
2524,36,2524,171,1497,5,2
2524,37,2524,173,1498,4,2
2524,38,2524,170,1496,4,1
2524,39,2524,171,1497,6,2
2524,40,2524,173,1498,5,2
2526,36,2526,173,1500,3,1
2526,37,2526,33,1501,2,1
2526,40,2526,33,1501,3,1
2526,41,2526,30,1499,3,2
2530,39,2530,4,1502,4,2
2530,42,2530,30,1504,3,2
2530,43,2530,32,1505,3,1
2530,44,2530,33,1503,2,1
2530,45,2530,32,1505,4,1
2530,46,2530,30,1504,4,2
2532,33,2532,31,1508,3,2
2541,31,2541,3,1510,3,1
2541,32,2541,3,1510,4,1
2545,36,2545,32,1511,2,1
2566,44,2566,35,1514,3,2
2566,45,2566,178,1515,3,2
2566,46,2566,178,1515,4,2
2566,48,2566,35,1514,4,2
2566,49,2566,178,1515,5,2
2566,50,2566,35,1514,5,2
2569,40,2569,34,1517,3,2
2569,41,2569,34,1517,4,2
2569,42,2569,37,1518,3,2
2569,43,2569,37,1518,4,2
2569,44,2569,37,1518,5,2
2569,46,2569,37,1518,6,2
2574,31,2574,30,1519,3,2
2574,32,2574,30,1519,4,2
2578,32,2578,178,1521,4,2
2581,34,2581,178,1523,4,2
2581,35,2581,178,1523,5,2
2590,46,2590,30,1525,5,2
2590,47,2590,177,1528,3,2
2590,48,2590,180,1530,3,2
2590,49,2590,30,1525,6,2
2590,51,2590,180,1530,4,2
2590,53,2590,177,1528,4,2
2590,55,2590,180,1530,5,2
2590,56,2590,39,1531,3,2
2590,59,2590,180,1530,6,2
2590,60,2590,39,1531,4,2
2590,61,2590,30,1525,7,2
2590,62,2590,177,1528,5,2
2591,38,2591,33,1533,3,2
2591,39,2591,33,1533,4,2
2593,34,2593,171,1536,2,1
2593,35,2593,171,1536,3,1
2608,37,2608,175,1538,3,2
2608,38,2608,175,1538,4,2
2610,33,2610,4,1539,3,1
2610,34,2610,31,1540,3,2
2611,40,2611,34,1545,3,2
2611,41,2611,35,1546,3,2
2611,43,2611,35,1546,4,2
2611,44,2611,30,1543,3,2
2611,45,2611,30,1543,5,2
2611,46,2611,30,1543,7,2
2611,47,2611,33,1544,2,1
2611,48,2611,34,1545,4,2
2611,181,2611,30,1543,4,2
2611,183,2611,30,1543,6,2
2611,189,2611,32,1542,3,2
2613,32,2613,182,1547,3,1
2613,183,2613,182,1547,2,1
2614,37,2614,174,1549,3,2
2614,38,2614,174,1549,4,2
2614,39,2614,177,1551,3,2
2614,40,2614,175,1548,4,2
2614,41,2614,174,1549,5,2
2614,42,2614,177,1551,4,2
2614,43,2614,179,1550,3,2
2614,44,2614,177,1551,5,2
2614,45,2614,179,1550,4,2
2614,46,2614,179,1550,5,2
2614,178,2614,175,1548,3,2
2615,51,2615,31,1553,4,1
2615,52,2615,33,1555,3,1
2615,53,2615,31,1553,5,1
2615,54,2615,33,1555,4,1
2615,55,2615,184,1556,3,2
2615,56,2615,184,1556,4,2
2615,57,2615,41,1558,3,2
2615,59,2615,41,1558,4,2
2615,60,2615,33,1555,5,1
2615,61,2615,184,1556,5,2
2615,63,2615,41,1558,5,2
2615,64,2615,35,1559,3,1
2615,65,2615,40,1560,3,2
2615,66,2615,42,1562,2,1
2615,67,2615,191,1554,3,2
2615,68,2615,41,1558,6,2
2615,69,2615,35,1559,4,1
2615,70,2615,40,1560,4,2
2615,71,2615,40,1560,5,2
2615,72,2615,42,1562,3,1
2615,73,2615,198,1552,3,2
2615,74,2615,191,1554,4,2
2615,75,2615,35,1559,5,1
2615,77,2615,40,1560,6,2
2615,78,2615,47,1563,3,1
2618,38,2618,4,1565,5,3
2618,39,2618,31,1566,4,2
2618,40,2618,3,1564,5,2
2618,41,2618,4,1565,6,3
2618,42,2618,31,1566,5,2
2618,43,2618,4,1565,7,3
2618,44,2618,4,1565,8,3
2618,45,2618,31,1566,6,2
2618,46,2618,4,1565,9,3
2618,47,2618,4,1565,2,3
2621,35,2621,30,1568,4,2
2621,36,2621,30,1568,5,2
2621,37,2621,30,1568,6,2
2621,38,2621,30,1568,7,2
2621,39,2621,176,1567,5,4
2621,40,2621,176,1567,6,4
2625,32,2625,172,1569,3,2
2625,33,2625,172,1569,4,2
2628,39,2628,30,1570,3,2
2628,40,2628,30,1570,4,2
2628,41,2628,30,1570,5,2
2632,34,2632,923,1572,1,3
2632,40,2632,181,1571,3,1
2633,33,2633,31,1574,3,2
2633,34,2633,31,1574,4,2
2633,35,2633,31,1574,5,2
2633,36,2633,31,1574,6,2
2633,37,2633,174,1575,3,1
2635,31,2635,4,1576,3,2
2636,31,2636,171,1577,3,2
2636,32,2636,171,1577,4,2
2639,31,2639,3,1578,4,2
2640,31,2640,171,1579,3,1
2642,36,2642,30,1580,3,2
2643,33,2643,176,1581,3,2
2643,34,2643,177,1582,3,2
2646,34,2646,172,1583,3,2
2646,35,2646,5,1586,1,3
2646,36,2646,172,1583,4,2
2646,37,2646,31,1585,2,1
2646,38,2646,182,1584,3,2
2646,39,2646,182,1584,4,2
2646,40,2646,182,1584,5,2
2646,41,2646,5,1586,2,3
2647,31,2647,172,1587,2,1
2649,40,2649,38,1590,5,1
2649,179,2649,3,1589,3,1
2649,180,2649,177,1588,3,1
2655,35,2655,30,1592,4,1
2661,47,2661,37,1594,3,2
2661,50,2661,37,1594,4,2
