KIDS,TAS,KID14,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30000,ER30001,ER30002,ER31987,ER31988,ER31989,ER31990,ER31991,ER31992,ER31993,ER31994,ER31995,ER31996,ER31997,ER32000,ER32001,ER32002,ER32003,ER32004,ER32005,ER32006,ER32007,ER32008,ER32009,ER32010,ER32011,ER32012,ER32013,ER32014,ER32015,ER32016,ER32017,ER32018,ER32019,ER32020,ER32021,ER32022,ER32023,ER32024,ER32025,ER32026,ER32027,ER32028,ER32029,ER32030,ER32031,ER32032,ER32033,ER32034,ER32035,ER32036,ER32037,ER32038,ER32039,ER32040,ER32041,ER32042,ER32043,ER32044,ER32045,ER32046,ER32047,ER32048,ER32049,ER32050,ER32051,ER32052,ER32053,ER33801,ER33802,ER33803,TA050001,TA050937,ER33901,ER33902,ER33903,TA070001,TA070918,ER34001,ER34002,ER34003,TA090001,TA090982,ER34101,ER34102,ER34103,TA110001,TA111124,ER34201,ER34202,ER34203,TA130001,TA131216,P14REL,ER34301,ER34302,ER34303,TA150001,TA151276,ER34501,ER34502,ER34503,TA170001,TA171974
1,,1.1,,,,,,,,2,5916,52,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,1,1,2,2019,2019,5916,188,1984,3,3,96,1,5916,31,1979,4,4,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,4293,0,0,,,6528,0,0,,,6587,0,0,,,2531,0,0,,,1820,4,30,,,2,6986,4,30,,,6004,4,30,,
,1,,,,,,,,1,2,5916,179,0,0,0,0,0,0,0,0,0,25,2,2,1,0,1,0,1,3,0,0,5916,178,1980,5,1,998,2,5916,33,1982,6,1,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5392,3,30,,,5848,3,30,,,6669,3,30,,,8139,2,30,,,1416,2,30,,,,8063,2,30,,,8966,1,10,2,5
,2,,,,,,,1,1,2,5921,32,0,0,0,0,0,0,0,0,0,26,1,2,1,0,1,0,0,2,0,0,5921,172,1977,5,1,116,1,5921,4,1960,6,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6104,3,30,,,6734,3,30,,,1265,3,30,,,5756,3,30,,,1738,3,30,,,,5059,3,30,2,3,962,3,30,2,4
1,1,1.1,,,,,,,1,2,5921,33,0,0,0,0,0,0,0,0,0,26,1,2,1,0,1,0,0,2,0,0,5921,172,1977,5,2,128,1,5921,4,1960,6,3,2019,1,7,2016,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6104,4,30,,,6734,4,30,,,1265,4,30,,,5756,4,30,,,1738,4,30,,,2,5059,4,30,,,962,4,30,2,5
1,,1.1,,,,,,,,2,5921,34,0,0,0,0,0,0,0,0,0,26,1,2,1,0,1,0,0,2,0,0,5921,172,1977,5,3,998,1,5921,4,1960,6,4,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6104,5,30,,,6734,5,30,,,1265,5,30,,,5756,5,30,,,1738,5,30,,,2,5059,5,30,,,962,5,30,,
1,,1.1,,,,,,,,2,5921,35,0,0,0,0,0,0,0,0,0,26,1,1,1,0,1,0,0,2,0,0,5921,172,1977,5,4,122,1,5921,4,1960,6,5,9999,99,99,9999,99,9999,99,9999,99,9999,99,9999,9999,99,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,9,0,0,1968,0,6104,0,0,,,6734,0,0,,,1265,0,0,,,5756,0,0,,,1738,6,30,,,2,5059,6,30,,,962,6,30,,
,4,,1,1,1,1,,,,2,5922,39,0,5,0,0,0,0,0,0,0,21,1,1,1,0,1,1,1,2,1990,1986,5922,180,1962,98,3,995,8,5922,10,1960,3,3,2019,2,10,2005,7,2008,99,9999,99,9999,99,9999,2019,1,12,2015,1,99,9999,99,9999,99,9999,9,99,9999,99,9999,1,0,0,1968,0,5887,3,30,5,4,3342,1,10,4,5,4377,1,10,3,5,875,1,10,2,5,2330,1,10,,,,2894,1,10,,,5652,1,10,,
,5,,1,1,1,1,1,,,2,5922,40,0,5,0,0,0,0,0,0,0,21,1,1,1,0,1,0,0,2,0,0,5922,192,1959,2,1,998,2,5922,9,1958,2,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5249,2,30,5,6,2111,2,30,4,5,4480,2,30,3,5,1733,1,10,2,4,4399,1,10,2,5,,9031,1,10,,,9028,1,10,,
,1,,,,,,,,1,2,5922,43,0,0,0,0,0,0,0,0,0,21,1,1,1,0,1,0,0,2,0,0,5922,210,1973,3,3,103,1,5922,170,1973,6,4,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,7281,4,30,,,6238,4,30,,,8572,5,33,,,8516,5,33,,,9101,5,33,,,,7614,3,33,,,8101,3,33,2,6
1,1,1.1,,,,,,,1,2,5922,44,0,0,0,0,0,0,0,0,0,21,1,2,1,0,1,0,1,2,0,0,5922,34,1980,3,1,136,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5871,3,35,,,2424,3,35,,,8447,2,30,,,1176,2,30,,,6315,2,30,,,2,5948,3,35,,,7335,3,35,2,4
1,1,1.1,,,,,,,1,2,5922,45,0,0,0,0,0,0,0,0,0,21,1,1,1,0,1,0,1,2,0,0,5922,213,1976,3,1,120,2,5922,11,1962,3,2,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6229,2,30,,,3928,3,35,,,8606,3,35,,,3235,3,35,,,6562,3,35,,,2,7985,3,33,,,8085,3,33,2,5
1,,1.1,,,,,,,,2,5922,46,0,0,0,0,0,0,0,0,0,21,1,1,1,1,1,0,1,2,2019,2017,5922,38,1970,3,3,108,2,0,0,9999,99,99,2015,0,99,9999,99,9999,99,9999,99,9999,99,9999,2015,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,5160,4,30,,,2458,4,30,,,5713,4,30,,,2856,3,30,,,3075,3,30,,,2,2193,3,30,,,4570,51,30,,
1,,1.1,,,,,,,,2,5922,47,0,0,0,0,0,0,0,0,0,21,1,2,1,0,1,0,1,2,0,0,5922,213,1976,3,2,103,2,5922,11,1962,3,3,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6229,3,30,,,3928,4,35,,,8606,4,35,,,3235,4,35,,,6562,4,35,,,2,7985,4,33,,,8085,4,33,,
1,,1.1,,,,,,,,2,5922,48,0,0,0,0,0,0,0,0,0,21,1,2,1,1,1,0,1,2,2019,2019,5922,36,1983,4,1,97,2,0,0,9999,99,99,2017,0,99,9999,99,9999,99,9999,99,9999,99,9999,2017,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6139,2,30,,,2301,2,30,,,7356,3,30,,,1113,3,33,,,2125,3,33,,,2,5518,3,33,,,6592,3,33,,
1,,1.1,,,,,,,,2,5922,49,0,0,0,0,0,0,0,0,0,21,1,2,1,0,1,0,1,2,0,0,5922,200,1985,2,1,99,2,0,0,9999,99,99,2019,0,99,9999,99,9999,99,9999,99,9999,99,9999,2019,0,99,9999,9,99,9999,99,9999,99,9999,9,99,9999,99,9999,2,0,0,1968,0,6087,7,60,,,5948,6,60,,,6226,2,30,,,809,2,30,,,1484,2,30,,,2,7995,3,33,,,7222,2,30,,
